GUID,Start Member Coordinates,End Member Coordinates,Profile,Assembly Position
64119d7d-0000-79da-3136-373838373735,"(14400.000, 24000.000, 4798.400)","(21600.000, 24000.000, 4798.400)",UB406*140*46,1035
64119d7d-0000-79d6-3136-373838373735,"(7200.000, 24000.000, 4798.400)","(14400.000, 24000.000, 4798.400)",UB406*140*46,1034
64119d7d-0000-79d2-3136-373838373735,"(10800.000, 12000.000, 4798.400)","(14400.000, 6000.000, 4798.400)",UB406*140*46,1033
64119d7d-0000-79ce-3136-373838373735,"(7200.000, 6000.000, 4798.400)","(10800.000, 12000.000, 4798.400)",UB406*140*46,1032
64119d7d-0000-79ca-3136-373838373735,"(21600.000, 30000.000, 4798.400)","(28800.000, 30000.000, 4798.400)",UB406*140*46,1031
64119d7d-0000-79c6-3136-373838373735,"(14400.000, 30000.000, 4798.400)","(21600.000, 30000.000, 4798.400)",UB406*140*46,1030
64119d7d-0000-79c2-3136-373838373735,"(7200.000, 30000.000, 4798.400)","(14400.000, 30000.000, 4798.400)",UB406*140*46,1029
64119d7d-0000-79be-3136-373838373735,"(21600.000, 6000.000, 4798.400)","(28800.000, 6000.000, 4798.400)",UB406*140*46,1028
64119d7d-0000-79ba-3136-373838373735,"(14400.000, 6000.000, 4798.400)","(21600.000, 6000.000, 4798.400)",UB406*140*46,1027
64119d7d-0000-79b6-3136-373838373735,"(7200.000, 6000.000, 4798.400)","(14400.000, 6000.000, 4798.400)",UB406*140*46,1026
64119d7d-0000-79b2-3136-373838373735,"(7200.000, 6000.000, 4798.400)","(7200.000, 12000.000, 4798.400)",UB406*140*46,1025
64119d7d-0000-79ae-3136-373838373735,"(28800.000, 30000.000, 0.000)","(28800.000, 30000.000, 5000.000)",UC254*254*73,1022
64119d7d-0000-79aa-3136-373838373735,"(21600.000, 30000.000, 0.000)","(21600.000, 30000.000, 5000.000)",UC254*254*73,1021
64119d7d-0000-79a6-3136-373838373735,"(14400.000, 30000.000, 0.000)","(14400.000, 30000.000, 5000.000)",UC254*254*73,1020
64119d7d-0000-79a2-3136-373838373735,"(7200.000, 30000.000, 0.000)","(7200.000, 30000.000, 5000.000)",UC254*254*73,1019
64119d7d-0000-799e-3136-373838373735,"(28800.000, 24000.000, 0.000)","(28800.000, 24000.000, 5000.000)",UC254*254*73,1018
64119d7d-0000-799a-3136-373838373735,"(21600.000, 24000.000, 0.000)","(21600.000, 24000.000, 5000.000)",UC254*254*73,1017
64119d7d-0000-7996-3136-373838373735,"(14400.000, 24000.000, 0.000)","(14400.000, 24000.000, 5000.000)",UC254*254*73,1016
64119d7d-0000-7992-3136-373838373735,"(7200.000, 24000.000, 0.000)","(7200.000, 24000.000, 5000.000)",UC254*254*73,1015
64119d7d-0000-798e-3136-373838373735,"(28800.000, 18000.000, 0.000)","(28800.000, 18000.000, 5000.000)",UC254*254*73,1014
64119d7d-0000-798a-3136-373838373735,"(21600.000, 18000.000, 0.000)","(21600.000, 18000.000, 5000.000)",UC254*254*73,1013
64119d7d-0000-7986-3136-373838373735,"(14400.000, 18000.000, 0.000)","(14400.000, 18000.000, 5000.000)",UC254*254*73,1012
64119d7d-0000-7982-3136-373838373735,"(7200.000, 18000.000, 0.000)","(7200.000, 18000.000, 5000.000)",UC254*254*73,1011
64119d7d-0000-797e-3136-373838373735,"(28800.000, 12000.000, 0.000)","(28800.000, 12000.000, 5000.000)",UC254*254*73,1010
64119d7d-0000-797a-3136-373838373735,"(21600.000, 12000.000, 0.000)","(21600.000, 12000.000, 5000.000)",UC254*254*73,1009
64119d7d-0000-7976-3136-373838373735,"(14400.000, 12000.000, 0.000)","(14400.000, 12000.000, 5000.000)",UC254*254*73,1008
64119d7d-0000-7972-3136-373838373735,"(7200.000, 12000.000, 0.000)","(7200.000, 12000.000, 5000.000)",UC254*254*73,1007
64119d7d-0000-796e-3136-373838373735,"(28800.000, 6000.000, 0.000)","(28800.000, 6000.000, 5000.000)",UC254*254*73,1006
64119d7d-0000-796a-3136-373838373735,"(21600.000, 6000.000, 0.000)","(21600.000, 6000.000, 5000.000)",UC254*254*73,1005
64119d7d-0000-7966-3136-373838373735,"(14400.000, 6000.000, 0.000)","(14400.000, 6000.000, 5000.000)",UC254*254*73,1004
64119d7d-0000-7962-3136-373838373735,"(7200.000, 6000.000, 0.000)","(7200.000, 6000.000, 5000.000)",UC254*254*73,1003
