GUID,Start Member Coordinates,End Member Coordinates,Profile,Assembly Position
64119d7d-0000-7a53-3136-373838373737,"(28800.000, 24000.000, 4798.400)","(36000.000, 24000.000, 4798.400)",UB406*140*46,1058
64119d7d-0000-7a4f-3136-373838373737,"(28800.000, 18000.000, 4798.400)","(36000.000, 18000.000, 4798.400)",UB406*140*46,1057
64119d7d-0000-7a4b-3136-373838373737,"(36000.000, 24000.000, 0.000)","(36000.000, 24000.000, 5000.000)",UC254*254*73,1024
64119d7d-0000-7a47-3136-373838373737,"(36000.000, 18000.000, 0.000)","(36000.000, 18000.000, 5000.000)",UC254*254*73,1023
64119d7d-0000-7a43-3136-373838373737,"(8391.026, 24000.000, 4798.400)","(12456.666, 30000.000, 4798.400)",UB406*140*46,1056
64119d7d-0000-7a32-3136-373838373735,"(28800.000, 24000.000, 4798.400)","(28800.000, 30000.000, 4798.400)",UB406*140*46,1055
64119d7d-0000-7a2e-3136-373838373735,"(36000.000, 18000.000, 4798.400)","(36000.000, 24000.000, 4798.400)",UB406*140*46,1054
64119d7d-0000-7a2a-3136-373838373735,"(28800.000, 12000.000, 4798.400)","(28800.000, 18000.000, 4798.400)",UB406*140*46,1053
64119d7d-0000-7a26-3136-373838373735,"(28800.000, 6000.000, 4798.400)","(28800.000, 12000.000, 4798.400)",UB406*140*46,1052
64119d7d-0000-7a22-3136-373838373735,"(21600.000, 24000.000, 4798.400)","(21600.000, 30000.000, 4798.400)",UB406*140*46,1051
64119d7d-0000-7a1e-3136-373838373735,"(21600.000, 18000.000, 4798.700)","(21600.000, 24000.000, 4798.700)",UB406*178*54,1002
64119d7d-0000-7a1a-3136-373838373735,"(21600.000, 12000.000, 4798.700)","(21600.000, 18000.000, 4798.700)",UB406*178*54,1001
64119d7d-0000-7a16-3136-373838373735,"(21600.000, 6000.000, 4798.400)","(21600.000, 12000.000, 4798.400)",UB406*140*46,1050
64119d7d-0000-7a12-3136-373838373735,"(14400.000, 24000.000, 4798.400)","(14400.000, 30000.000, 4798.400)",UB406*140*46,1049
64119d7d-0000-7a0e-3136-373838373735,"(14400.000, 18050.000, 4798.400)","(14400.000, 24000.000, 4798.400)",UB406*140*46,1048
64119d7d-0000-7a0a-3136-373838373735,"(14400.000, 12000.000, 4798.400)","(14400.000, 17965.000, 4798.400)",UB406*140*46,1047
64119d7d-0000-7a06-3136-373838373735,"(14400.000, 6000.000, 4798.400)","(14400.000, 12000.000, 4798.400)",UB406*140*46,1046
64119d7d-0000-7a02-3136-373838373735,"(7200.000, 24000.000, 4798.400)","(7200.000, 30000.000, 4798.400)",UB406*140*46,1045
64119d7d-0000-79fe-3136-373838373735,"(7200.000, 18000.000, 4798.400)","(7200.000, 24000.000, 4798.400)",UB406*140*46,1044
64119d7d-0000-79fa-3136-373838373735,"(7200.000, 12000.000, 4798.400)","(7200.000, 18000.000, 4798.400)",UB406*140*46,1043
64119d7d-0000-79f6-3136-373838373735,"(21600.000, 12000.000, 4798.400)","(28800.000, 12000.000, 4798.400)",UB406*140*46,1042
64119d7d-0000-79f2-3136-373838373735,"(14400.000, 12000.000, 4798.400)","(21600.000, 12000.000, 4798.400)",UB406*140*46,1041
64119d7d-0000-79ee-3136-373838373735,"(7200.000, 12000.000, 4798.400)","(14400.000, 12000.000, 4798.400)",UB406*140*46,1040
64119d7d-0000-79ea-3136-373838373735,"(21600.000, 18000.000, 4798.400)","(28800.000, 18000.000, 4798.400)",UB406*140*46,1039
64119d7d-0000-79e6-3136-373838373735,"(14430.000, 18000.000, 4798.400)","(21600.000, 18000.000, 4798.400)",UB406*140*46,1038
64119d7d-0000-79e2-3136-373838373735,"(7200.000, 18000.000, 4798.400)","(14360.000, 18000.000, 4798.400)",UB406*140*46,1037
64119d7d-0000-79de-3136-373838373735,"(21600.000, 24000.000, 4798.400)","(28800.000, 24000.000, 4798.400)",UB406*140*46,1036
